Month,Reef damage,Coral reef Damaged,Coral Bleaching,Great Barrier Reef Damage,Coral Disease,Great Barrier Reef Oil Spill,Climate Change,Coral and El Nino
2010-02,6,3,34,10,6,1,59,1
2010-03,6,1,47,8,7,1,56,1
2010-04,9,2,45,21,8,100,52,2
2010-05,6,1,55,16,6,47,47,1
2010-06,4,1,34,5,8,19,35,1
2010-07,2,1,22,7,6,18,31,1
2010-08,3,1,36,10,6,7,33,0
2010-09,4,0,36,0,5,6,37,0
2010-10,5,2,53,0,6,3,41,1
2010-11,2,3,43,6,9,3,44,1
2010-12,2,0,28,0,6,2,36,1
2011-01,4,1,29,4,7,1,36,1
2011-02,6,2,33,7,5,1,39,1
2011-03,7,2,48,6,8,4,42,1
2011-04,6,1,38,8,9,0,36,1
2011-05,6,1,44,8,6,3,39,1
2011-06,3,1,19,3,6,4,32,2
2011-07,3,1,17,3,3,2,28,0
2011-08,4,1,17,5,4,2,27,1
2011-09,3,1,27,5,6,2,33,1
2011-10,5,2,35,10,5,1,35,1
2011-11,4,2,41,6,5,1,41,1
2011-12,2,1,23,0,8,2,32,1
2012-01,3,<1,25,7,7,1,30,<1
2012-02,2,1,37,2,10,2,35,1
2012-03,5,<1,39,7,6,2,36,1
2012-04,3,1,37,7,8,1,33,1
2012-05,3,1,33,6,7,3,32,1
2012-06,3,<1,24,5,7,3,25,0
2012-07,2,<1,16,3,5,1,25,<1
2012-08,2,0,17,6,5,3,24,<1
2012-09,3,1,29,8,6,2,30,1
2012-10,4,1,40,4,6,1,35,<1
2012-11,4,1,47,7,7,2,40,<1
2012-12,3,1,23,9,6,1,28,1
2013-01,6,1,25,2,6,1,29,1
2013-02,5,<1,34,4,6,3,32,0
2013-03,6,1,34,5,6,1,33,1
2013-04,4,1,41,7,8,2,34,<1
2013-05,5,1,42,8,5,2,33,1
2013-06,3,1,20,5,6,1,29,0
2013-07,2,1,16,6,6,0,23,<1
2013-08,3,<1,20,3,6,1,24,<1
2013-09,4,1,28,6,6,3,33,1
2013-10,3,1,36,5,8,2,33,1
2013-11,5,1,38,5,6,1,38,1
2013-12,2,1,24,2,4,1,26,1
2014-01,3,1,21,3,6,1,32,<1
2014-02,4,1,33,4,7,1,36,<1
2014-03,4,1,37,3,7,2,37,0
2014-04,4,2,36,4,8,1,40,<1
2014-05,3,1,39,6,7,2,44,1
2014-06,3,1,22,3,4,1,31,<1
2014-07,2,<1,16,3,5,1,25,1
2014-08,2,1,18,8,6,1,26,<1
2014-09,3,<1,25,7,5,3,45,<1
2014-10,5,1,35,6,5,2,38,<1
2014-11,5,1,37,10,6,2,44,<1
2014-12,2,1,29,4,6,0,32,<1
2015-01,2,<1,23,1,6,<1,33,<1
2015-02,5,1,28,3,4,1,37,1
2015-03,4,2,34,9,5,2,41,<1
2015-04,4,1,34,6,9,1,42,1
2015-05,7,<1,37,4,5,3,39,<1
2015-06,3,<1,20,7,4,1,36,<1
2015-07,3,<1,18,7,6,10,28,0
2015-08,3,1,17,3,5,1,34,1
2015-09,3,1,25,5,4,1,43,1
2015-10,5,1,59,5,6,2,44,1
2015-11,5,1,49,6,6,1,59,1
2015-12,3,1,34,3,6,<1,63,<1
2016-01,3,<1,22,3,6,1,42,1
2016-02,4,1,38,7,5,<1,46,<1
2016-03,3,1,63,5,8,2,51,1
2016-04,6,1,100,5,9,<1,52,1
2016-05,4,1,95,4,8,1,47,2
2016-06,4,1,65,4,5,1,34,<1
2016-07,1,<1,32,2,7,<1,28,<1
2016-08,2,1,44,4,4,1,34,<1
2016-09,4,1,48,6,5,1,43,<1
2016-10,7,1,93,6,5,2,49,<1
2016-11,4,1,80,6,5,2,74,<1
2016-12,3,1,51,6,6,<1,51,1
2017-01,4,1,44,1,6,1,59,1
2017-02,3,1,61,5,6,1,53,<1
2017-03,6,2,91,7,6,1,58,1
2017-04,8,1,96,11,10,0,56,<1
2017-05,5,1,85,8,7,1,53,1
2017-06,3,<1,47,3,6,<1,60,1
2017-07,4,1,51,6,6,<1,34,<1
2017-08,4,<1,49,7,5,1,36,<1
2017-09,26,1,62,1,4,1,53,1
2017-10,7,1,72,8,5,1,46,1
2017-11,6,1,79,7,7,1,53,1
2017-12,4,1,51,5,4,<1,42,1
2018-01,5,1,53,3,4,<1,45,1
2018-02,5,1,61,5,5,1,44,1
2018-03,5,1,70,6,8,1,44,<1
2018-04,6,<1,86,7,9,<1,46,1
2018-05,7,2,87,4,7,2,45,<1
2018-06,5,<1,44,11,4,1,30,1
2018-07,3,<1,29,2,5,1,29,<1
2018-08,4,<1,45,9,5,1,35,<1
2018-09,4,1,63,10,7,1,39,0
2018-10,2,1,73,6,6,0,42,1
