Month,What are the florida keys: (Worldwide),florida keys reefs: (Worldwide),florida keys scuba: (Worldwide),scuba diving in florida keys: (Worldwide),florida keys coral reef: (Worldwide),florida keys diving: (Worldwide)
2014-08,11,7,6,3,10,12
2014-09,7,5,7,2,6,10
2014-10,14,5,6,3,9,9
2014-11,12,8,9,5,9,11
2014-12,11,6,6,1,10,8
2015-01,20,6,8,5,8,11
2015-02,17,4,7,4,9,7
2015-03,20,12,10,5,11,14
2015-04,16,11,11,3,10,11
2015-05,12,6,9,3,13,13
2015-06,16,5,7,5,9,12
2015-07,16,5,7,3,5,15
2015-08,17,4,9,3,7,13
2015-09,10,3,5,2,9,8
2015-10,11,3,4,1,13,7
2015-11,15,4,5,3,9,7
2015-12,14,5,7,2,9,7
2016-01,12,11,7,4,12,13
2016-02,15,8,6,2,14,12
2016-03,14,5,10,5,12,10
2016-04,12,6,6,3,12,9
2016-05,8,13,7,5,11,11
2016-06,13,7,6,2,5,9
2016-07,12,7,7,3,10,11
2016-08,10,4,4,2,3,9
2016-09,10,9,7,1,5,9
2016-10,6,5,5,3,6,5
2016-11,7,4,3,2,6,6
2016-12,10,5,7,3,11,7
2017-01,16,5,8,4,11,13
2017-02,11,9,10,3,12,12
2017-03,14,5,8,3,13,10
2017-04,8,9,9,3,11,8
2017-05,12,9,9,4,12,9
2017-06,10,6,7,3,10,9
2017-07,16,8,6,3,11,12
2017-08,13,7,7,3,10,9
2017-09,100,3,4,2,7,6
2017-10,13,4,4,3,8,6
2017-11,10,7,3,3,5,4
2017-12,6,7,6,4,5,7
2018-01,18,2,7,2,6,6
2018-02,13,7,8,2,10,9
2018-03,13,7,5,2,10,7
2018-04,15,9,8,3,12,9
2018-05,13,10,7,3,12,7
2018-06,11,9,4,4,11,7
2018-07,12,6,9,4,8,11
2018-08,12,5,7,3,9,7
2018-09,10,5,5,2,6,7
2018-10,11,9,7,3,8,5
