Month,great barrier reef scuba: (Worldwide),scuba diving in the great barrier reef: (Worldwide),great barrier reef: (Worldwide),great barrier reef diving: (Worldwide),great barrier reef facts: (Worldwide),what is the great barrier reef: (Worldwide)
2009-07,33,7,19,26,18,22
2009-08,40,0,22,33,38,24
2009-09,20,0,25,26,47,36
2009-10,34,6,23,27,40,48
2009-11,29,6,24,29,56,34
2009-12,26,6,14,22,26,18
2010-01,36,11,18,35,43,22
2010-02,24,14,22,23,67,33
2010-03,34,10,27,22,92,60
2010-04,24,11,41,31,79,52
2010-05,22,11,30,28,97,60
2010-06,30,11,22,19,57,27
2010-07,35,5,16,24,29,28
2010-08,22,7,20,34,38,34
2010-09,26,0,21,27,53,34
2010-10,32,4,21,31,50,38
2010-11,30,13,20,24,42,32
2010-12,22,7,13,19,24,20
2011-01,31,6,18,23,38,30
2011-02,27,4,19,22,47,35
2011-03,20,10,23,23,73,58
2011-04,28,12,19,28,54,41
2011-05,33,13,25,24,85,54
2011-06,25,8,19,24,53,39
2011-07,35,10,14,21,24,25
2011-08,20,4,17,22,42,38
2011-09,28,7,20,27,51,41
2011-10,34,17,19,31,55,38
2011-11,24,9,20,24,54,54
2011-12,22,3,14,19,29,24
2012-01,36,14,22,31,43,29
2012-02,23,6,20,24,57,41
2012-03,20,6,25,32,75,49
2012-04,27,6,18,24,41,42
2012-05,26,7,22,21,79,62
2012-06,31,11,20,20,56,42
2012-07,21,8,15,22,23,24
2012-08,33,7,17,28,39,33
2012-09,35,9,27,28,56,47
2012-10,32,5,26,26,57,51
2012-11,30,5,20,20,48,41
2012-12,26,5,15,20,27,25
2013-01,24,3,17,25,38,28
2013-02,29,11,18,23,47,35
2013-03,23,5,20,22,58,47
2013-04,28,14,19,19,57,43
2013-05,21,13,22,20,65,56
2013-06,22,5,18,21,42,33
2013-07,24,9,20,22,31,22
2013-08,29,5,18,26,37,31
2013-09,25,7,22,23,49,46
2013-10,22,6,19,20,45,45
2013-11,34,6,21,24,48,50
2013-12,31,5,17,24,29,25
2014-01,32,5,18,30,29,25
2014-02,27,7,21,19,50,36
2014-03,22,8,23,22,50,56
2014-04,21,4,19,21,41,38
2014-05,25,5,23,26,60,61
2014-06,24,5,18,20,43,33
2014-07,27,5,15,20,27,21
2014-08,22,6,17,24,41,38
2014-09,30,2,20,26,40,46
2014-10,28,6,19,24,46,48
2014-11,23,6,21,26,46,42
2014-12,18,4,14,19,23,21
2015-01,28,5,16,27,33,26
2015-02,31,7,19,22,47,49
2015-03,17,5,21,24,60,62
2015-04,24,6,19,22,40,42
2015-05,19,9,21,20,54,63
2015-06,28,5,18,23,39,42
2015-07,25,4,16,25,27,25
2015-08,29,10,19,22,30,49
2015-09,19,4,19,20,29,45
2015-10,26,5,19,20,34,50
2015-11,32,4,19,26,41,45
2015-12,26,8,16,21,22,26
2016-01,28,7,21,34,21,29
2016-02,24,8,18,21,27,33
2016-03,28,5,21,25,36,48
2016-04,26,6,25,29,33,51
2016-05,32,9,25,23,46,62
2016-06,23,3,20,23,27,39
2016-07,22,2,16,19,20,25
2016-08,23,3,18,22,24,39
2016-09,27,11,20,24,30,41
2016-10,26,11,100,27,38,81
2016-11,27,2,27,24,35,56
2016-12,32,7,18,17,21,37
2017-01,29,5,20,27,26,28
2017-02,30,6,21,26,34,49
2017-03,30,3,29,22,38,65
2017-04,23,5,25,23,30,51
2017-05,24,8,23,21,47,71
2017-06,27,7,23,23,29,72
2017-07,26,8,28,20,19,34
2017-08,20,5,20,20,25,50
2017-09,19,6,19,20,26,43
2017-10,28,6,20,21,31,52
2017-11,28,4,21,20,34,57
2017-12,24,4,16,22,18,31
2018-01,31,8,18,24,17,35
2018-02,28,6,19,22,26,53
2018-03,26,7,21,21,35,54
2018-04,25,7,21,20,32,60
2018-05,27,3,22,24,42,73
2018-06,26,3,16,20,30,38
2018-07,19,4,14,18,13,23
2018-08,22,3,21,16,30,48
2018-09,25,3,21,18,34,56
2018-10,25,13,17,14,27,34
