Month,damaged coral: (Worldwide),damaged reefs: (Worldwide),reef damage: (Worldwide),coral disease: (Worldwide),reef disease: (Worldwide),coral reef damage: (Worldwide),coral reef death: (Worldwide),coral reef dying: (Worldwide),coral reefs dying: (Worldwide),reef death: (Worldwide),coral death: (Worldwide),dying coral: (Worldwide),dead coral: (Worldwide),dead reef: (Worldwide),dead coral reef: (Worldwide),coral damage: (Worldwide),why are coral reefs dying: (Worldwide),why are the coral reefs dying: (Worldwide)
2006-05,26,59,27,41,61,27,0,0,0,26,19,21,11,2,12,13,0,0
2006-06,73,100,25,28,75,29,0,0,28,20,25,36,6,1,9,7,0,0
2006-07,0,25,21,28,22,19,0,0,0,14,45,43,3,1,0,7,0,0
2006-08,0,23,20,22,20,18,17,0,26,19,33,20,7,1,0,6,0,0
2006-09,16,0,16,42,37,17,0,13,25,84,40,26,11,3,22,10,0,0
2006-10,30,0,17,38,17,23,0,12,23,55,33,29,10,1,10,9,0,0
2006-11,36,0,14,19,17,15,14,11,45,42,8,23,7,1,13,11,36,0
2006-12,15,20,12,42,17,47,0,0,0,22,20,12,12,1,7,11,0,0
2007-01,13,0,10,27,46,14,0,0,40,19,32,15,8,1,6,7,0,0
2007-02,27,37,13,25,16,28,14,0,21,20,37,16,8,1,0,12,0,0
2007-03,24,16,14,34,28,43,0,9,0,31,36,19,5,1,5,12,0,0
2007-04,0,25,10,13,22,33,25,15,0,18,44,39,3,2,12,14,0,0
2007-05,21,14,19,36,44,11,11,13,50,20,35,25,11,2,5,22,0,0
2007-06,0,15,17,17,13,47,0,9,17,29,21,22,10,2,10,6,28,0
2007-07,0,0,10,20,25,11,11,9,0,32,18,9,9,7,5,10,0,0
2007-08,10,14,14,19,18,11,0,0,32,0,23,25,9,2,5,8,0,0
2007-09,20,14,14,16,18,0,0,8,16,15,39,24,8,2,0,6,0,0
2007-10,9,25,19,28,16,28,9,0,28,23,35,25,6,1,17,11,0,0
2007-11,18,18,8,23,20,23,18,7,27,16,46,28,7,2,8,8,22,0
2007-12,9,13,11,27,22,49,19,7,15,28,41,22,7,2,4,7,0,0
2008-01,17,11,14,21,15,52,8,0,13,24,27,29,9,3,15,14,0,21
2008-02,8,0,13,29,50,22,9,7,20,25,28,23,10,2,12,10,0,0
2008-03,20,27,19,29,19,33,8,6,12,15,50,31,5,1,4,9,41,0
2008-04,27,16,21,30,32,33,16,9,43,29,32,28,10,2,11,16,40,0
2008-05,15,16,11,36,14,8,8,12,48,29,45,28,8,2,4,8,0,0
2008-06,20,16,12,19,46,17,12,0,0,23,33,13,10,2,4,8,0,0
2008-07,15,0,9,16,27,8,8,15,12,34,34,49,10,2,7,2,0,0
2008-08,8,10,9,20,14,16,8,0,0,17,34,6,8,1,0,10,0,0
2008-09,0,10,10,22,8,11,11,6,22,16,20,11,11,1,7,12,0,18
2008-10,10,18,10,24,15,17,7,10,10,36,36,31,11,2,6,5,17,0
2008-11,17,37,13,14,40,18,14,16,16,30,32,32,14,1,13,8,0,0
2008-12,14,18,5,25,20,29,7,16,21,13,24,21,6,1,3,9,0,0
2009-01,12,17,10,13,11,10,19,10,33,23,36,49,6,1,14,5,0,0
2009-02,13,9,9,27,23,10,13,8,10,14,23,33,9,2,8,7,17,0
2009-03,26,16,22,21,27,18,12,9,27,23,51,27,15,1,7,12,0,0
2009-04,0,8,9,26,14,6,18,12,14,31,48,40,10,2,15,11,15,0
2009-05,12,12,13,16,34,15,6,7,18,28,47,43,11,2,5,10,15,15
2009-06,14,15,9,22,26,6,0,11,9,27,39,42,11,1,8,4,0,0
2009-07,14,0,4,25,13,12,6,4,9,17,40,38,9,1,0,8,0,0
2009-08,0,8,12,16,17,6,6,4,17,6,44,36,8,1,4,4,0,0
2009-09,13,14,9,34,19,8,8,6,29,24,76,38,16,2,7,5,0,0
2009-10,10,7,16,21,26,16,10,10,55,29,22,37,8,1,6,7,12,12
2009-11,28,20,12,23,15,21,10,4,27,22,32,24,13,1,5,11,19,0
2009-12,7,10,5,18,6,18,5,12,39,13,33,24,5,1,9,7,13,13
2010-01,12,16,8,29,14,14,9,9,11,17,42,24,12,1,5,6,24,12
2010-02,12,20,10,27,26,15,10,8,19,20,36,37,8,1,6,7,12,0
2010-03,13,12,11,27,20,25,4,7,24,19,48,50,11,1,6,10,11,11
2010-04,34,12,20,32,19,17,12,11,18,36,34,47,7,2,8,9,12,23
2010-05,9,12,18,19,11,26,14,9,28,17,36,36,14,1,8,10,34,17
2010-06,16,9,4,17,8,10,5,7,7,24,25,13,9,1,6,8,12,0
2010-07,9,6,7,16,18,9,4,7,7,14,36,29,14,1,4,3,11,11
2010-08,4,6,8,25,17,7,0,3,19,18,34,40,6,1,3,8,0,0
2010-09,4,0,13,13,9,13,8,5,22,18,32,28,10,1,7,7,0,0
2010-10,13,16,5,24,20,10,6,4,9,17,32,35,9,1,3,8,10,0
2010-11,9,15,6,14,17,18,6,4,12,28,32,35,12,2,6,6,0,9
2010-12,4,0,4,16,15,4,4,6,23,42,34,24,7,1,3,4,0,10
2011-01,9,5,7,18,18,9,7,5,8,50,43,26,14,2,2,5,0,9
2011-02,11,10,15,13,13,23,11,7,22,39,49,39,12,2,5,9,0,9
2011-03,18,13,14,22,25,10,8,5,25,28,42,27,10,1,5,8,29,0
2011-04,16,19,10,24,20,15,7,0,24,36,40,33,11,1,5,10,0,0
2011-05,8,16,22,26,11,22,7,4,30,17,37,39,15,3,6,11,21,12
2011-06,10,5,2,16,12,4,5,9,16,20,36,25,15,1,3,4,9,9
2011-07,8,0,11,11,6,9,3,3,5,26,28,17,12,1,2,5,0,8
2011-08,9,4,9,13,11,8,8,2,15,27,38,22,9,2,3,10,0,0
2011-09,6,6,8,13,18,13,6,2,9,25,37,18,9,1,2,6,8,8
2011-10,14,10,9,16,12,12,15,3,9,27,27,27,13,1,5,5,7,0
2011-11,12,10,8,14,22,14,3,7,20,14,32,34,11,2,5,6,11,7
2011-12,12,6,4,14,10,8,12,3,13,16,45,24,11,1,8,5,0,0
2012-01,13,4,5,19,11,6,5,6,14,23,29,23,11,2,7,6,10,7
2012-02,12,7,3,27,11,6,6,4,17,31,52,30,16,2,9,6,0,0
2012-03,5,7,10,24,17,11,5,10,10,24,40,34,10,1,9,9,7,0
2012-04,8,7,9,17,12,13,9,4,16,26,45,41,11,1,6,10,27,7
2012-05,8,10,5,24,10,11,6,3,16,19,43,32,11,1,4,6,6,6
2012-06,6,4,5,13,15,5,3,2,8,10,26,30,12,1,2,5,7,7
2012-07,5,3,5,11,12,11,5,5,12,21,34,18,12,2,4,4,10,7
2012-08,4,0,3,14,13,5,0,3,6,21,36,26,10,1,4,6,6,0
2012-09,10,9,7,16,10,7,5,6,18,18,31,35,13,2,7,6,6,13
2012-10,7,11,8,19,14,5,14,10,20,30,33,46,10,2,6,5,9,15
2012-11,9,6,10,22,16,12,4,9,18,22,26,30,16,1,5,9,21,12
2012-12,8,13,9,17,12,10,5,9,14,11,33,28,11,1,5,5,6,6
2013-01,7,4,13,16,10,7,6,5,21,20,32,38,9,2,4,3,16,11
2013-02,8,11,10,16,23,16,6,5,20,20,43,28,13,1,4,10,9,6
2013-03,8,10,15,19,17,14,4,4,8,19,33,27,14,1,5,9,16,11
2013-04,8,13,11,25,14,14,7,10,18,23,42,49,14,2,5,9,5,11
2013-05,14,12,13,16,17,19,8,7,9,23,53,31,13,1,6,9,8,0
2013-06,6,6,6,18,19,2,3,7,5,20,30,27,14,1,6,6,8,5
2013-07,4,6,7,15,11,8,5,3,8,13,27,30,10,1,4,4,5,0
2013-08,4,3,4,16,13,9,3,4,3,21,30,18,12,1,4,4,5,0
2013-09,5,5,11,19,14,3,5,10,12,21,23,36,11,1,3,5,5,10
2013-10,10,9,7,20,15,15,5,7,12,19,27,33,10,1,4,8,14,0
2013-11,13,15,9,22,16,12,2,7,17,25,29,23,14,1,9,8,10,0
2013-12,7,7,5,17,15,4,2,5,4,26,35,28,11,1,3,5,5,0
2014-01,8,10,6,19,13,4,6,6,6,28,28,28,13,1,4,6,18,5
2014-02,17,11,9,17,15,12,8,9,14,18,40,38,13,2,5,7,5,0
2014-03,8,5,7,18,22,11,5,7,25,17,41,41,19,2,6,8,4,5
2014-04,16,10,9,30,23,12,5,6,17,13,48,36,13,1,5,4,14,5
2014-05,13,9,8,24,15,10,5,5,23,18,49,34,13,1,9,7,7,9
2014-06,8,6,5,11,8,5,3,6,11,17,25,31,19,1,5,7,16,5
2014-07,2,0,7,16,12,6,3,3,6,16,34,33,82,1,1,4,0,5
2014-08,9,4,6,19,13,3,4,4,6,26,40,33,59,1,2,4,0,0
2014-09,6,5,8,10,11,6,4,5,12,20,30,27,44,1,4,8,12,5
2014-10,13,9,11,21,15,12,2,6,11,16,28,26,100,2,8,9,9,5
2014-11,8,4,11,15,9,17,8,7,10,19,31,22,65,1,4,10,5,5
2014-12,6,13,2,16,10,5,7,5,14,19,33,29,49,1,5,5,14,5
2015-01,4,0,4,14,12,5,5,5,11,24,33,29,37,2,4,5,4,0
2015-02,9,5,9,14,10,12,7,10,17,28,44,35,42,1,7,6,10,5
2015-03,15,9,10,15,17,12,9,6,13,22,41,30,46,2,7,10,9,0
2015-04,11,11,7,26,19,15,7,4,8,29,42,34,47,1,4,9,7,5
2015-05,8,5,13,14,15,19,3,5,18,25,28,31,34,3,4,9,13,4
2015-06,7,4,6,19,15,7,5,1,9,19,33,24,29,2,4,6,0,0
2015-07,4,2,4,17,11,2,5,5,4,18,28,26,30,1,3,3,4,0
2015-08,8,5,5,12,12,4,3,5,5,17,24,28,35,1,3,4,4,0
2015-09,11,4,5,15,17,4,3,6,13,20,25,27,30,2,5,4,6,4
2015-10,11,6,9,20,16,17,9,6,19,21,34,31,56,2,4,6,16,6
2015-11,9,8,11,18,16,11,2,17,21,19,36,40,42,1,4,9,6,4
2015-12,7,7,10,19,10,9,3,5,13,13,28,30,35,1,4,7,4,0
2016-01,11,8,9,18,12,12,8,5,18,17,44,29,23,1,3,21,8,8
2016-02,9,8,12,18,18,14,5,7,15,22,51,33,63,2,8,11,7,4
2016-03,12,4,9,24,22,14,6,3,19,30,41,36,36,2,6,10,8,16
2016-04,9,8,12,25,20,17,8,14,24,31,58,39,42,3,12,11,13,0
2016-05,7,10,12,21,17,18,8,10,25,28,34,38,29,2,10,11,15,8
2016-06,7,2,7,15,12,8,6,9,17,26,41,37,24,2,7,6,7,0
2016-07,8,4,4,13,11,4,4,8,4,20,36,22,25,1,4,6,0,0
2016-08,5,5,6,15,16,6,6,6,8,22,34,24,17,1,3,6,5,0
2016-09,10,8,8,15,11,10,4,6,16,25,31,38,24,1,4,9,11,4
2016-10,19,8,13,18,24,11,20,40,53,100,50,65,83,100,100,11,13,13
2016-11,12,4,8,18,14,10,13,29,41,56,36,65,45,10,34,7,13,8
2016-12,4,8,5,20,18,8,7,18,23,40,35,51,27,7,15,8,14,12
2017-01,10,5,8,18,18,11,7,16,35,29,42,58,21,6,21,9,22,10
2017-02,9,7,8,22,17,10,7,19,44,33,48,58,27,6,19,8,21,13
2017-03,12,19,14,19,15,16,9,21,69,29,50,65,30,15,32,10,26,13
2017-04,9,6,17,28,30,14,14,31,54,34,44,76,29,9,29,10,18,6
2017-05,16,5,11,16,21,11,9,18,48,29,48,62,24,5,23,9,33,14
2017-06,7,4,7,20,10,8,3,17,32,27,29,41,19,5,12,6,10,17
2017-07,6,3,9,15,12,3,7,18,43,36,28,63,33,27,47,4,14,8
2017-08,8,0,8,13,15,6,2,10,29,19,29,37,22,6,13,5,12,8
2017-09,21,8,64,13,14,17,10,11,41,31,38,45,19,5,17,100,8,16
2017-10,8,5,12,19,12,6,11,12,35,22,34,48,24,5,19,12,11,6
2017-11,10,6,15,20,25,14,6,21,56,26,36,56,24,4,19,11,15,12
2017-12,5,5,10,16,9,12,5,10,45,23,36,49,30,4,15,7,14,10
2018-01,14,9,11,19,10,10,7,19,32,29,47,52,20,3,13,11,7,4
2018-02,5,4,7,23,17,10,9,26,47,31,51,60,29,4,15,10,16,12
2018-03,13,5,8,23,23,12,14,19,46,32,53,58,26,4,17,8,12,4
2018-04,8,4,14,26,19,14,10,26,69,26,51,76,24,3,13,12,22,9
2018-05,12,9,15,25,19,23,9,19,54,23,49,67,21,3,15,11,26,11
2018-06,6,6,12,12,11,12,5,17,23,22,34,36,17,2,7,11,13,9
2018-07,8,5,7,17,14,8,6,9,14,22,27,34,19,2,8,8,15,4
2018-08,8,8,11,10,8,9,5,15,25,29,37,40,20,2,9,7,9,0
2018-09,9,8,10,17,13,12,10,14,46,21,33,53,19,3,9,9,15,7
2018-10,11,7,4,21,22,17,8,23,50,30,29,55,22,2,11,2,27,14
